Username,Komentar
"
@rosasihombing3297
","Sangat tenang, cuek, benar2 tak ada penyesalan!! Asli psikopat"
"
@oldschool9449
",Yg jelas Jessika memesan minuman tanpa comfir sama Mirna itu sdh mencurigakan
"
@hendimulyadi8615
",Masih belum lega nih sama kasus ini. Penyelesainnya belum sempurna. Need sherlock.
"
@DwiCP_17
","Kalau aku makan bareng teman atau saudara, pesen minum buat sendiri dulu.. Baru kalau, udah datang baru minta disajikan yg pesenan buat teman.."
"
@davadava7533
",Bohong nya sudah keterlaluan si Iblis Jess!!! Lihat deh pas dia mau taruh bag lain nya kepala nya melihat ke belakang dan samping!! Oh my gosh ini sudah seharusnya hukum mati!!!
"
@liawahyuniofficial9290
",Ga kebayang ribetnya pelayan mengatasi masalah yg seharusnya gak pernah terpikirkan
"
@vieyrinnoa7257
","Gua kalo jadi pelayannya bakalan lupa sih sama kejadian yang ada. Secara kan customer banyak, dan gak mungkin inget detail adegan karena rutinitasnya berulang tiap hari wkwkwk."
"
@unielubis3395
",Waduh.. telat berita 4 tahun gw min .. asw
"
@sakinahnelwan8216
","Logika aja lah, kalian klo ngopi sama temen2 kan mesennya pas kalian datang, ini orang blm dtg kopi udah dipesenin duluan"
"
@natalyee5763
",Udah 2021 dan aku baru nnton berita ini diYT gegara muncul di beranda. Ada yang sama?
"
@rudychan2003
","Inilah pentingnya cctv di dunia ini karena kesalahan diri sendiri tidak bisa dilihat orang lain, yg bisa melihat dosa kita sesungguhnya hanyalah Allah"
